Date,Open,High,Low,Close,Adj Close,Volume
2022-07-22,1145.000000,1156.599976,1125.199951,1153.599976,1150.535522,81910
2022-07-25,1165.000000,1179.000000,1155.349976,1169.000000,1165.894653,67424
2022-07-26,1181.000000,1183.849976,1125.800049,1133.349976,1130.339355,51901
2022-07-27,1133.349976,1144.650024,1126.199951,1129.349976,1126.349976,24933
2022-07-28,1130.000000,1149.400024,1105.650024,1113.800049,1113.800049,39529
2022-07-29,1160.000000,1160.000000,1126.050049,1133.150024,1133.150024,58370
2022-08-01,1145.199951,1160.000000,1133.900024,1139.650024,1139.650024,23234
2022-08-02,1137.000000,1140.250000,1122.349976,1132.000000,1132.000000,26384
2022-08-03,1140.000000,1140.000000,1120.199951,1127.400024,1127.400024,21817
2022-08-04,1129.000000,1155.000000,1113.099976,1141.949951,1141.949951,99562
2022-08-05,1146.050049,1148.000000,1125.000000,1131.050049,1131.050049,21972
2022-08-08,1135.650024,1185.000000,1125.099976,1150.550049,1150.550049,137005
2022-08-10,1140.000000,1173.699951,1119.250000,1161.400024,1161.400024,147605
2022-08-11,1169.900024,1169.900024,1145.300049,1156.400024,1156.400024,35965
2022-08-12,1157.650024,1186.000000,1134.000000,1143.550049,1143.550049,349096
2022-08-16,1145.300049,1174.000000,1130.949951,1142.599976,1142.599976,69865
2022-08-17,1160.000000,1183.599976,1145.300049,1155.750000,1155.750000,177918
2022-08-18,1165.000000,1240.000000,1155.800049,1226.150024,1226.150024,1099035
2022-08-19,1240.000000,1250.000000,1203.250000,1228.349976,1228.349976,270621
2022-08-22,1228.349976,1262.000000,1203.150024,1245.800049,1245.800049,353584
2022-08-23,1245.000000,1265.000000,1233.000000,1247.900024,1247.900024,174916
2022-08-24,1250.000000,1259.050049,1216.650024,1230.099976,1230.099976,127820
2022-08-25,1231.000000,1260.000000,1231.000000,1246.449951,1246.449951,138163
2022-08-26,1253.000000,1264.599976,1210.050049,1224.000000,1224.000000,176242
2022-08-29,1214.900024,1230.000000,1194.000000,1212.000000,1212.000000,50501
2022-08-30,1216.949951,1237.800049,1211.900024,1232.900024,1232.900024,124495
2022-09-01,1219.550049,1243.800049,1195.000000,1209.949951,1209.949951,86181
2022-09-02,1217.650024,1230.000000,1200.150024,1222.250000,1222.250000,108188
2022-09-05,1223.900024,1242.699951,1198.000000,1224.250000,1224.250000,59201
2022-09-06,1234.150024,1248.400024,1225.000000,1229.650024,1229.650024,80109
2022-09-07,1229.650024,1255.000000,1213.949951,1226.900024,1226.900024,173494
2022-09-08,1236.000000,1238.199951,1200.199951,1208.300049,1208.300049,103273
2022-09-09,1214.500000,1217.500000,1199.150024,1204.449951,1204.449951,51228
2022-09-12,1204.449951,1214.949951,1200.099976,1203.300049,1203.300049,43919
2022-09-13,1210.599976,1213.000000,1200.199951,1205.750000,1205.750000,44780
2022-09-14,1199.949951,1209.699951,1180.050049,1184.099976,1184.099976,89191
2022-09-15,1190.050049,1193.000000,1172.300049,1180.099976,1180.099976,34587
2022-09-16,1187.300049,1206.000000,1110.000000,1120.599976,1120.599976,144461
2022-09-19,1120.550049,1199.000000,1120.000000,1142.849976,1142.849976,97481
2022-09-20,1148.599976,1174.300049,1127.050049,1131.800049,1131.800049,55659
2022-09-21,1135.150024,1147.699951,1080.949951,1120.699951,1120.699951,153865
2022-09-22,1126.599976,1126.599976,1087.949951,1110.400024,1110.400024,122122
2022-09-23,1100.300049,1107.349976,1070.000000,1076.949951,1076.949951,91001
2022-09-26,1073.250000,1075.000000,1003.000000,1066.949951,1066.949951,174056
2022-09-27,1079.949951,1088.000000,1035.550049,1074.500000,1074.500000,78043
2022-09-28,1073.900024,1108.000000,1060.000000,1091.099976,1091.099976,59126
2022-09-29,1096.800049,1150.000000,1095.900024,1136.349976,1136.349976,128070
2022-09-30,1153.849976,1216.900024,1124.550049,1202.199951,1202.199951,365305
2022-10-03,1198.400024,1229.900024,1177.449951,1191.000000,1191.000000,204811
2022-10-04,1204.699951,1213.250000,1160.099976,1189.050049,1189.050049,141657
2022-10-06,1188.949951,1210.000000,1177.949951,1188.300049,1188.300049,119685
2022-10-07,1188.099976,1212.000000,1177.550049,1203.849976,1203.849976,95735
2022-10-10,1192.900024,1229.000000,1160.300049,1183.900024,1183.900024,228857
2022-10-11,1180.000000,1201.949951,1166.650024,1190.400024,1190.400024,119813
2022-10-12,1189.949951,1198.550049,1156.000000,1161.400024,1161.400024,65882
2022-10-13,1155.000000,1169.949951,1141.199951,1156.699951,1156.699951,58788
2022-10-14,1162.800049,1172.000000,1138.000000,1144.300049,1144.300049,47949
2022-10-17,1133.900024,1162.599976,1133.900024,1151.099976,1151.099976,80136
2022-10-18,1146.150024,1193.099976,1140.000000,1152.750000,1152.750000,154030
2022-10-19,1154.599976,1189.949951,1152.000000,1163.400024,1163.400024,77711
2022-10-20,1158.400024,1182.849976,1153.099976,1173.400024,1173.400024,58487
2022-10-21,1168.000000,1199.500000,1151.000000,1160.800049,1160.800049,84006
